5,69600,4,1
5,57100,4,1
5,38500,4,1
1000,7857100,2006,9
5,35300,4,1
1000,2401000,2013,10
5,37600,4,1
10000,11823800,20459,12
10000,3720700,19738,14
10000,3859400,20627,13
10000,3176800,19920,13
10000,3236400,19788,11
10000,7995000,20339,12
10000,3111900,19816,13
10000,1952600,20401,14
10000,4204100,19776,11
10000,3295000,20344,14
10000,1355700,20442,13
10000,1190500,20347,12
10000,1221800,19745,12
10000,3545300,19936,13
10000,1162300,19823,12
10000,1194200,19818,12
10000,1303500,19805,10
10000,1053100,19809,13
10000,3361300,20468,14
10000,2886500,20369,13
1000,2475300,1976,10
5,25500,4,1
